budget_factor,algname,fid,dim,lib,fx,
1000,bipop,1,2,Baselines,-8,
1000,bipop,1,5,Baselines,-8,
1000,bipop,1,10,Baselines,-8,
1000,bipop,1,20,Baselines,-8,
1000,bipop,2,2,Baselines,-8,
1000,bipop,2,5,Baselines,-8,
1000,bipop,2,10,Baselines,-8,
1000,bipop,2,20,Baselines,-7.895874576,
1000,bipop,3,2,Baselines,-2.501788384,
1000,bipop,3,5,Baselines,0.290230332,
1000,bipop,3,10,Baselines,0.828415736,
1000,bipop,3,20,Baselines,1.33610292,
1000,bipop,4,2,Baselines,-0.794914863,
1000,bipop,4,5,Baselines,0.789370733,
1000,bipop,4,10,Baselines,1.10783327,
1000,bipop,4,20,Baselines,1.533233266,
1000,bipop,5,2,Baselines,-8,
1000,bipop,5,5,Baselines,-8,
1000,bipop,5,10,Baselines,-8,
1000,bipop,5,20,Baselines,-7.09068886,
1000,bipop,6,2,Baselines,-8,
1000,bipop,6,5,Baselines,-8,
1000,bipop,6,10,Baselines,-8,
1000,bipop,6,20,Baselines,-8,
1000,bipop,7,2,Baselines,-8,
1000,bipop,7,5,Baselines,-7.486454273,
1000,bipop,7,10,Baselines,-2.803363472,
1000,bipop,7,20,Baselines,0.232011138,
1000,bipop,8,2,Baselines,-8,
1000,bipop,8,5,Baselines,-7.363707534,
1000,bipop,8,10,Baselines,-7.483963977,
1000,bipop,8,20,Baselines,-4.320527239,
1000,bipop,9,2,Baselines,-8,
1000,bipop,9,5,Baselines,-7.490853149,
1000,bipop,9,10,Baselines,-7.141518086,
1000,bipop,9,20,Baselines,-5.723131099,
1000,bipop,10,2,Baselines,-8,
1000,bipop,10,5,Baselines,-8,
1000,bipop,10,10,Baselines,-8,
1000,bipop,10,20,Baselines,-7.650713202,
1000,bipop,11,2,Baselines,-8,
1000,bipop,11,5,Baselines,-8,
1000,bipop,11,10,Baselines,-8,
1000,bipop,11,20,Baselines,-8,
1000,bipop,12,2,Baselines,-6.702970061,
1000,bipop,12,5,Baselines,-6.418651566,
1000,bipop,12,10,Baselines,-4.657894501,
1000,bipop,12,20,Baselines,-5.058808567,
1000,bipop,13,2,Baselines,-8,
1000,bipop,13,5,Baselines,-7.661816979,
1000,bipop,13,10,Baselines,-5.047466797,
1000,bipop,13,20,Baselines,-0.983805488,
1000,bipop,14,2,Baselines,-8,
1000,bipop,14,5,Baselines,-8,
1000,bipop,14,10,Baselines,-8,
1000,bipop,14,20,Baselines,-7.539415341,
1000,bipop,15,2,Baselines,-2.284758713,
1000,bipop,15,5,Baselines,0.347335465,
1000,bipop,15,10,Baselines,0.76567159,
1000,bipop,15,20,Baselines,1.268451466,
1000,bipop,16,2,Baselines,-7.299179439,
1000,bipop,16,5,Baselines,-5.10448233,
1000,bipop,16,10,Baselines,-1.3732557,
1000,bipop,16,20,Baselines,-0.941613675,
1000,bipop,17,2,Baselines,-6.644082828,
1000,bipop,17,5,Baselines,-4.953868163,
1000,bipop,17,10,Baselines,-3.677140971,
1000,bipop,17,20,Baselines,-3.182048562,
1000,bipop,18,2,Baselines,-3.604320473,
1000,bipop,18,5,Baselines,-1.797656537,
1000,bipop,18,10,Baselines,-1.708219837,
1000,bipop,18,20,Baselines,-1.448007241,
1000,bipop,19,2,Baselines,-3.824725294,
1000,bipop,19,5,Baselines,-0.469396607,
1000,bipop,19,10,Baselines,-0.187197994,
1000,bipop,19,20,Baselines,0.039423151,
1000,bipop,20,2,Baselines,-1.776676166,
1000,bipop,20,5,Baselines,0.082068413,
1000,bipop,20,10,Baselines,0.194207714,
1000,bipop,20,20,Baselines,0.22461688,
1000,bipop,21,2,Baselines,-5.50794883,
1000,bipop,21,5,Baselines,-2.956815602,
1000,bipop,21,10,Baselines,-2.014666255,
1000,bipop,21,20,Baselines,-1.062803433,
1000,bipop,22,2,Baselines,-5.795648997,
1000,bipop,22,5,Baselines,-2.421415562,
1000,bipop,22,10,Baselines,-0.45106849,
1000,bipop,22,20,Baselines,0.451949123,
1000,bipop,23,2,Baselines,-3.345533691,
1000,bipop,23,5,Baselines,-0.344932394,
1000,bipop,23,10,Baselines,0.087268914,
1000,bipop,23,20,Baselines,0.250101851,
1000,bipop,24,2,Baselines,0.161337463,
1000,bipop,24,5,Baselines,0.825604721,
1000,bipop,24,10,Baselines,1.34662668,
1000,bipop,24,20,Baselines,1.695402255,
5000,bipop,1,2,Baselines,-8,
5000,bipop,1,5,Baselines,-8,
5000,bipop,1,10,Baselines,-8,
5000,bipop,1,20,Baselines,-8,
5000,bipop,2,2,Baselines,-8,
5000,bipop,2,5,Baselines,-8,
5000,bipop,2,10,Baselines,-8,
5000,bipop,2,20,Baselines,-8,
5000,bipop,3,2,Baselines,-7.309944845,
5000,bipop,3,5,Baselines,-0.971218228,
5000,bipop,3,10,Baselines,0.517072287,
5000,bipop,3,20,Baselines,1.102854941,
5000,bipop,4,2,Baselines,-2.214087588,
5000,bipop,4,5,Baselines,0.584199239,
5000,bipop,4,10,Baselines,0.885063802,
5000,bipop,4,20,Baselines,1.363100011,
5000,bipop,5,2,Baselines,-8,
5000,bipop,5,5,Baselines,-8,
5000,bipop,5,10,Baselines,-8,
5000,bipop,5,20,Baselines,-8,
5000,bipop,6,2,Baselines,-8,
5000,bipop,6,5,Baselines,-8,
5000,bipop,6,10,Baselines,-8,
5000,bipop,6,20,Baselines,-8,
5000,bipop,7,2,Baselines,-8,
5000,bipop,7,5,Baselines,-8,
5000,bipop,7,10,Baselines,-7.335307087,
5000,bipop,7,20,Baselines,-1.031385001,
5000,bipop,8,2,Baselines,-8,
5000,bipop,8,5,Baselines,-8,
5000,bipop,8,10,Baselines,-8,
5000,bipop,8,20,Baselines,-8,
5000,bipop,9,2,Baselines,-8,
5000,bipop,9,5,Baselines,-8,
5000,bipop,9,10,Baselines,-8,
5000,bipop,9,20,Baselines,-8,
5000,bipop,10,2,Baselines,-8,
5000,bipop,10,5,Baselines,-8,
5000,bipop,10,10,Baselines,-8,
5000,bipop,10,20,Baselines,-8,
5000,bipop,11,2,Baselines,-8,
5000,bipop,11,5,Baselines,-8,
5000,bipop,11,10,Baselines,-8,
5000,bipop,11,20,Baselines,-8,
5000,bipop,12,2,Baselines,-8,
5000,bipop,12,5,Baselines,-8,
5000,bipop,12,10,Baselines,-8,
5000,bipop,12,20,Baselines,-8,
5000,bipop,13,2,Baselines,-8,
5000,bipop,13,5,Baselines,-8,
5000,bipop,13,10,Baselines,-7.909931796,
5000,bipop,13,20,Baselines,-4.340452878,
5000,bipop,14,2,Baselines,-8,
5000,bipop,14,5,Baselines,-8,
5000,bipop,14,10,Baselines,-8,
5000,bipop,14,20,Baselines,-8,
5000,bipop,15,2,Baselines,-6.689944522,
5000,bipop,15,5,Baselines,-2.037377336,
5000,bipop,15,10,Baselines,0.42092488,
5000,bipop,15,20,Baselines,1.007876437,
5000,bipop,16,2,Baselines,-8,
5000,bipop,16,5,Baselines,-7.894923787,
5000,bipop,16,10,Baselines,-4.651875629,
5000,bipop,16,20,Baselines,-2.049635589,
5000,bipop,17,2,Baselines,-8,
5000,bipop,17,5,Baselines,-8,
5000,bipop,17,10,Baselines,-7.181024988,
5000,bipop,17,20,Baselines,-5.844175982,
