budget_factor,algname,fid,dim,lib,fx,
100,DE,16,5,OPYTIMIZER,-0.826108752,
100,DE,16,10,OPYTIMIZER,0.724508946,
100,DE,16,20,OPYTIMIZER,1.101900035,
100,DE,17,2,OPYTIMIZER,-6.394523867,
100,DE,17,5,OPYTIMIZER,-6.304329879,
100,DE,17,10,OPYTIMIZER,-6.003865473,
100,DE,17,20,OPYTIMIZER,-3.101884024,
100,DE,18,2,OPYTIMIZER,-6.299611409,
100,DE,18,5,OPYTIMIZER,-6.180852044,
100,DE,18,10,OPYTIMIZER,-4.947867999,
100,DE,18,20,OPYTIMIZER,-1.101234934,
100,DE,19,2,OPYTIMIZER,-5.013889855,
100,DE,19,5,OPYTIMIZER,-0.029886096,
100,DE,19,10,OPYTIMIZER,0.518664213,
100,DE,19,20,OPYTIMIZER,0.722160854,
100,DE,20,2,OPYTIMIZER,-6.330902949,
100,DE,20,5,OPYTIMIZER,-3.85233989,
100,DE,20,10,OPYTIMIZER,-1.668590071,
100,DE,20,20,OPYTIMIZER,0.589222311,
100,DE,21,2,OPYTIMIZER,-5.860500312,
100,DE,21,5,OPYTIMIZER,-2.996650415,
100,DE,21,10,OPYTIMIZER,-0.790443969,
100,DE,21,20,OPYTIMIZER,0.621567306,
100,DE,22,2,OPYTIMIZER,-6.641204816,
100,DE,22,5,OPYTIMIZER,-0.432685481,
100,DE,22,10,OPYTIMIZER,-0.001269248,
100,DE,22,20,OPYTIMIZER,0.963665752,
100,DE,23,2,OPYTIMIZER,-0.122377764,
100,DE,23,5,OPYTIMIZER,0.095453687,
100,DE,23,10,OPYTIMIZER,0.191856612,
100,DE,23,20,OPYTIMIZER,0.328279621,
100,DE,24,2,OPYTIMIZER,0.045294828,
100,DE,24,5,OPYTIMIZER,1.175010757,
100,DE,24,10,OPYTIMIZER,1.68209743,
100,DE,24,20,OPYTIMIZER,2.1236257,
500,DE,1,2,OPYTIMIZER,-7.261832272,
500,DE,1,5,OPYTIMIZER,-6.856668868,
500,DE,1,10,OPYTIMIZER,-6.627793004,
500,DE,1,20,OPYTIMIZER,-6.427431303,
500,DE,2,2,OPYTIMIZER,-6.569002334,
500,DE,2,5,OPYTIMIZER,-6.248175163,
500,DE,2,10,OPYTIMIZER,-6.03983228,
500,DE,2,20,OPYTIMIZER,-5.838119828,
500,DE,3,2,OPYTIMIZER,-5.740491861,
500,DE,3,5,OPYTIMIZER,-2.93620412,
500,DE,3,10,OPYTIMIZER,0.815275616,
500,DE,3,20,OPYTIMIZER,1.371747202,
500,DE,4,2,OPYTIMIZER,-6.311469941,
500,DE,4,5,OPYTIMIZER,-0.343970974,
